id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,240,2,585,2022-03-07,3.69,1,305,42,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,42,1,264,2021-07-03,1.81,1,0,3,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,3,117,2021-07-01,0.78,1,0,2,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,325,3,268,2022-03-06,2.09,1,107,30,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,44,3,48,2021-11-13,0.33,1,26,2,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,250,30,14,2022-01-31,0.10,2,207,2,
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,417,1,137,2022-02-14,1.24,12,122,22,
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,153,30,11,2021-01-10,0.08,1,255,0,
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,31,46,2022-01-25,0.31,1,99,6,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,350,2,34,2022-01-20,0.25,1,302,4,
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,42,30,6,2022-01-19,0.17,1,211,2,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,117,30,31,2021-11-20,0.22,2,316,1,
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,188,1,852,2022-03-10,6.25,2,317,119,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,278,2,163,2022-03-09,1.23,2,317,46,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,124,2,446,2022-03-08,3.31,1,0,5,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,225,2,36,2021-10-25,0.66,1,9,5,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,250,2,38,2021-11-28,0.42,1,337,14,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,90,2020-04-23,1.46,1,0,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (East Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,77,7,6,2022-02-05,0.04,1,0,4,
78731,Large Room and Private Bath in Central East Austin,423131,Robin,,78702,30.27011,-97.72693,Private room,129,3,184,2020-03-02,1.51,1,37,0,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,150,2,163,2022-03-06,1.22,1,35,18,
72833,"Private, Central Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,136,3,386,2022-03-05,2.88,1,115,26,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,280,2,40,2022-01-24,0.30,1,345,12,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,110,30,55,2022-02-14,0.41,2,215,6,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,200,2,238,2022-02-22,1.78,2,324,19,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,143,2,375,2022-03-06,2.80,2,301,47,
76497,Chic DTown Clarksville Gem/backporch/take pets,177441,Ash,,78703,30.27678,-97.75805,Entire home/apt,397,2,239,2022-02-28,1.78,2,353,27,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,178,2,206,2022-03-03,1.53,1,10,24,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,1150,2,170,2022-03-06,2.02,1,254,27,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.12,1,0,0,
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,85,28,44,2021-05-22,0.33,2,234,1,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,0,0,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,306,1,103,2022-02-20,0.78,1,335,20,
104099,Zilker Guesthouse,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,124,1,194,2022-02-28,1.52,2,27,26,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,135,2022-02-06,1.03,2,297,5,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,336,20,91,2022-03-05,0.74,9,309,9,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0,0,
128326,Austin City Limits-Private Pool by Nature Preserve,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,295,3,69,2022-03-05,0.54,1,219,22,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,386,20,81,2022-02-21,0.64,9,301,7,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,336,20,83,2022-02-20,0.65,9,293,11,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,150,30,202,2021-11-20,1.78,1,178,5,
